"park_name","unit_code","park_type","region","traffic_counter","year","month","traffic_count","park_name_total","unit_code_total","park_type_total","region_type","traffic_count_total_label","year_total","traffic_count_total","state"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,1,3321,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,2,2959,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,3,3380,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,4,3296,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,5,2033,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,6,1383,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,7,628,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,8,404,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,9,1847,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,10,2688,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,11,2906,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,12,1587,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1995,26432,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,1,3023,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,2,1573,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,3,1573,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,4,1279,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,5,1615,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,6,1000,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,7,364,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,8,358,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,9,847,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,10,1967,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,11,1824,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,12,1686,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1996,17109,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,1,2887,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,2,1807,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,3,2796,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,4,2350,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,5,2365,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,6,2121,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,7,427,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,8,410,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,9,1766,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,10,2547,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,11,3024,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,12,2534,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1997,25034,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,1,0,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,2,1753,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,3,5028,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,4,7327,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,5,4914,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,6,4076,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,7,302,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,8,1801,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,9,3963,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,10,5007,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,11,3828,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,12,3000,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1998,40999,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1999,1,3050,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1999,54690,"NY"
"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1999,2,6067,"Fire Island NS","FIIS","National Seashore","Northeast","Traffic count at West End Checkpoint",1999,54690,"NY"
